City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mtinko,TZ,-4.55,34.85,59.32,98,100,4.92,overcast clouds
1,Jamtara,IN,23.95,86.8,58.19,86,1,9.31,clear sky
2,Lebu,CL,-37.6167,-73.65,64.24,75,1,17.47,clear sky
3,Ushuaia,AR,-54.8,-68.3,55.02,41,33,2.42,scattered clouds
4,Longyearbyen,SJ,78.2186,15.6401,15.64,67,0,20.71,clear sky
5,Port Hardy,CA,50.6996,-127.4199,45.75,95,100,10.25,moderate rain
6,Rikitea,PF,-23.1203,-134.9692,78.46,71,9,10.63,clear sky
7,New Norfolk,AU,-42.7826,147.0587,57.92,75,49,1.79,scattered clouds
8,Hobart,AU,-42.8794,147.3294,58.26,86,75,5.75,broken clouds
9,Albany,US,42.6001,-73.9662,26.91,87,100,1.99,light snow
10,Lazaro Cardenas,MX,17.9583,-102.2,81.25,55,2,7.56,clear sky
11,Vestmanna,FO,62.1564,-7.1664,34.72,55,75,25.32,light snow
12,Tasiilaq,GL,65.6145,-37.6368,21.36,64,100,39.95,overcast clouds
13,Geraldton,AU,-28.7667,114.6,72.01,53,0,3.44,clear sky
14,Mataura,NZ,-46.1927,168.8643,53.47,98,100,1.36,overcast clouds
15,Touros,BR,-5.1989,-35.4608,81.5,59,26,15.19,scattered clouds
16,Atuona,PF,-9.8,-139.0333,78.19,78,29,16.22,light rain
17,Mar Del Plata,AR,-38.0023,-57.5575,71.62,88,75,8.99,broken clouds
18,Provideniya,RU,64.3833,-173.3,-0.44,65,0,13.73,clear sky
19,Severo-Kurilsk,RU,50.6789,156.125,27.66,90,100,3.06,overcast clouds
20,Vaini,TO,-21.2,-175.2,75.36,100,100,8.05,light rain
21,Jamestown,US,42.097,-79.2353,22.32,64,100,1.99,light snow
22,Bluff,NZ,-46.6,168.3333,53.8,63,77,6.78,broken clouds
23,Castro,BR,-24.7911,-50.0119,67.01,96,100,6.69,light rain
24,Punta Arenas,CL,-53.15,-70.9167,59.11,38,0,17.27,clear sky
25,Krasnouralsk,RU,58.3638,60.0407,21.52,96,100,6.42,light snow
26,Mahebourg,MU,-20.4081,57.7,80.26,85,100,17.83,light rain
27,Cape Town,ZA,-33.9258,18.4232,69.35,63,4,5.01,clear sky
28,Kieta,PG,-6.2167,155.6333,81.37,83,100,10.89,overcast clouds
29,Airai,TL,-8.9266,125.4092,60.12,90,99,1.86,overcast clouds
30,Tungor,RU,53.3808,142.9564,3.24,93,100,20.76,light snow
31,Kapaa,US,22.0752,-159.319,73.38,87,0,0.0,clear sky
32,Norman Wells,CA,65.282,-126.8329,-20.94,90,100,10.38,overcast clouds
33,Te Anau,NZ,-45.4167,167.7167,44.01,93,45,4.27,scattered clouds
34,Puerto Ayora,EC,-0.7393,-90.3518,82.36,86,83,5.99,broken clouds
35,Kahului,US,20.8947,-156.47,76.84,69,0,0.0,clear sky
36,Bolshaya Rechka,RU,51.9503,104.7355,-6.75,96,66,1.48,broken clouds
37,Kodiak,US,57.79,-152.4072,31.51,86,100,4.61,overcast clouds
38,Anadyr,RU,64.75,177.4833,-11.16,79,1,6.73,clear sky
39,Kavieng,PG,-2.5744,150.7967,81.77,73,100,6.46,overcast clouds
40,Petlawad,IN,23.0,74.8,61.02,24,0,2.1,clear sky
41,Saskylakh,RU,71.9167,114.0833,-6.34,99,100,4.72,light snow
42,Mapiripan,CO,2.8892,-72.1256,90.05,44,100,3.24,overcast clouds
43,Busselton,AU,-33.65,115.3333,67.08,59,0,5.19,clear sky
44,Bahia Honda,CU,22.9036,-83.1592,82.54,61,18,6.87,light rain
45,Husavik,IS,66.0449,-17.3389,25.2,92,99,15.1,light snow
46,Visnes,NO,59.3556,5.2242,41.05,70,20,23.02,few clouds
47,Faanui,PF,-16.4833,-151.75,80.26,75,22,13.96,few clouds
48,Westport,US,41.1415,-73.3579,39.16,95,100,3.0,light rain
49,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,70,20,5.75,few clouds
50,Hithadhoo,MV,-0.6,73.0833,81.99,73,20,10.09,few clouds
51,Butaritari,KI,3.0707,172.7902,82.51,73,14,19.1,few clouds
52,Cabrobo,BR,-8.5142,-39.31,95.77,25,35,6.78,scattered clouds
53,Alta Floresta,BR,-9.8756,-56.0861,85.87,65,2,1.79,clear sky
54,Awbari,LY,26.5921,12.7805,54.25,38,0,6.89,clear sky
55,Barrow,US,71.2906,-156.7887,-29.18,68,40,8.05,scattered clouds
56,Buraydah,SA,26.326,43.975,65.43,25,0,18.9,clear sky
57,Hofn,IS,64.2539,-15.2082,28.42,59,20,19.57,few clouds
58,Pisco,PE,-13.7,-76.2167,75.25,64,0,11.5,clear sky
59,Bathsheba,BB,13.2167,-59.5167,83.01,61,40,14.97,scattered clouds
60,Dikson,RU,73.5069,80.5464,-3.69,90,100,5.86,overcast clouds
61,Cherskiy,RU,68.75,161.3,-34.71,99,14,3.15,few clouds
62,Saint George,US,37.1041,-113.5841,50.47,28,0,3.0,clear sky
63,Wattegama,LK,6.7989,81.4808,68.9,90,67,2.39,broken clouds
64,Jaguey Grande,CU,22.5269,-81.1286,83.05,36,43,3.67,scattered clouds
65,Poum,NC,-20.2333,164.0167,81.43,84,100,17.6,moderate rain
66,Tuktoyaktuk,CA,69.4541,-133.0374,-24.07,99,14,11.63,few clouds
67,Victoria,HK,22.2855,114.1577,55.94,78,96,4.0,overcast clouds
68,Poronaysk,RU,49.2167,143.1167,9.95,90,100,8.79,overcast clouds
69,Khatanga,RU,71.9667,102.5,-35.27,100,60,3.44,broken clouds
70,Bredasdorp,ZA,-34.5322,20.0403,63.28,59,8,12.86,clear sky
71,Garbolovo,RU,60.3413,30.4955,18.59,94,99,8.99,overcast clouds
72,Upernavik,GL,72.7868,-56.1549,-0.98,100,79,9.95,broken clouds
73,Avarua,CK,-21.2078,-159.775,80.65,78,40,11.5,scattered clouds
74,Murchison,NZ,-41.8,172.3333,65.39,99,100,2.17,light rain
75,Kaseda,JP,31.4167,130.3167,41.34,73,98,24.52,overcast clouds
76,Baykit,RU,61.67,96.37,8.65,98,100,3.71,overcast clouds
77,Thompson,CA,55.7435,-97.8558,-11.18,82,6,7.0,clear sky
78,Hilo,US,19.7297,-155.09,77.61,71,100,5.75,overcast clouds
79,Puno,PE,-15.8333,-70.0333,60.37,54,100,1.14,overcast clouds
80,Saldanha,ZA,-33.0117,17.9442,63.27,74,0,20.54,clear sky
81,Lichuan,CN,30.3,108.85,32.83,83,92,3.62,overcast clouds
82,Hay River,CA,60.8156,-115.7999,-9.69,90,100,7.07,overcast clouds
83,Galesong,ID,-5.3166,119.3661,77.02,83,99,8.1,overcast clouds
84,Dunedin,NZ,-45.8742,170.5036,52.81,85,100,7.0,overcast clouds
85,Terrace,CA,54.5163,-128.6035,39.42,100,100,3.6,moderate rain
86,Kaoma,ZM,-14.7833,24.8,64.76,96,100,3.74,overcast clouds
87,Port Alfred,ZA,-33.5906,26.891,68.16,80,100,7.52,light rain
88,Dublin,US,37.7021,-121.9358,60.48,56,0,3.0,clear sky
89,Hermanus,ZA,-34.4187,19.2345,63.81,62,0,19.35,clear sky
90,Leningradskiy,RU,69.3833,178.4167,-17.66,92,40,9.42,scattered clouds
91,Samarai,PG,-10.6167,150.6667,80.87,80,88,8.08,overcast clouds
92,Arandis,NA,-22.4167,14.9667,60.46,60,100,5.86,overcast clouds
93,Chuy,UY,-33.6971,-53.4616,80.74,69,18,5.64,few clouds
94,Kissidougou,GN,9.1848,-10.0999,81.01,12,22,4.61,few clouds
95,Zhuzhou,CN,27.8333,113.15,41.4,85,91,3.4,overcast clouds
96,Port-Gentil,GA,-0.7193,8.7815,80.11,76,99,6.35,overcast clouds
97,Winnemucca,US,40.973,-117.7357,39.25,48,0,8.05,clear sky
98,Havoysund,NO,70.9963,24.6622,19.63,87,100,38.23,light snow
99,Porto Novo,BJ,6.4965,2.6036,80.37,73,5,7.92,clear sky
100,Roma,US,43.2128,-75.4557,21.96,82,100,8.05,light snow
101,Tual,ID,-5.6667,132.75,83.62,75,100,16.28,overcast clouds
102,Surt,LY,31.2089,16.5887,57.16,64,0,3.0,clear sky
103,Komsomolskiy,UZ,40.4272,71.7189,38.62,42,0,3.67,clear sky
104,Jiwani,PK,25.05,61.7417,71.44,60,0,12.28,clear sky
105,Alyangula,AU,-13.8483,136.4192,78.67,100,100,5.75,thunderstorm with heavy rain
106,Piedra Gorda,PR,18.4341,-66.8877,80.35,82,43,10.0,scattered clouds
107,Galveston,US,29.3669,-94.9669,35.19,79,100,10.0,overcast clouds
108,Praia,CV,14.9215,-23.5087,77.54,41,0,17.27,clear sky
109,Hasaki,JP,35.7333,140.8333,27.0,44,97,21.79,overcast clouds
110,Jati,PK,24.3539,68.2671,65.43,51,0,7.67,clear sky
111,Riyadh,SA,24.6877,46.7219,69.94,21,0,5.53,clear sky
112,Athens,GR,37.9795,23.7162,49.17,71,20,1.01,few clouds
113,Tahta,EG,26.7693,31.5021,54.79,47,5,11.63,clear sky
114,Kamenka,RU,51.3223,42.7678,22.75,96,100,9.06,overcast clouds
115,Magadan,RU,59.5667,150.8,-0.02,69,99,11.16,overcast clouds
116,Bumba,CD,2.1833,22.4667,80.58,35,100,2.13,overcast clouds
117,Magistralnyy,RU,56.1725,107.4458,9.77,96,100,4.43,light snow
118,Gemena,CD,3.25,19.7667,77.45,27,100,1.97,overcast clouds
119,Mont-De-Marsan,FR,44.0,-0.6667,51.12,100,100,4.61,overcast clouds
120,Cockburn Town,TC,21.4612,-71.1419,75.67,69,0,15.84,clear sky
121,Guerrero Negro,MX,27.9769,-114.0611,61.5,22,0,1.39,clear sky
122,Mokhotlong,LS,-29.2894,29.0675,54.27,93,100,5.35,moderate rain
123,Talnakh,RU,69.4865,88.3972,1.2,96,100,7.27,overcast clouds
124,Shetpe,KZ,44.1667,52.1167,39.65,92,97,5.12,overcast clouds
125,Hanzhong,CN,33.0728,107.0303,41.59,60,100,3.15,overcast clouds
126,Garowe,SO,8.4054,48.4845,70.5,34,5,11.72,clear sky
127,Dudinka,RU,69.4058,86.1778,1.62,97,99,5.95,overcast clouds
128,Sheridan,US,44.8333,-106.9173,44.31,36,0,12.66,clear sky
129,Felipe Carrillo Puerto,MX,19.5833,-88.05,85.57,55,68,3.89,broken clouds
130,Anisoc,GQ,1.8658,10.7689,72.9,86,53,2.28,broken clouds
131,Darnah,LY,32.767,22.6367,53.92,65,3,16.28,clear sky
132,Tuatapere,NZ,-46.1333,167.6833,53.82,83,100,3.2,overcast clouds
133,Zhuhai,CN,22.2769,113.5678,57.06,71,20,20.71,few clouds
134,Nemuro,JP,43.3236,145.575,20.53,80,10,11.16,clear sky
135,Heze,CN,35.2431,115.4411,27.48,39,0,4.7,clear sky
136,Lasa,IT,46.6166,10.7002,40.46,62,3,2.19,clear sky
137,Chokurdakh,RU,70.6333,147.9167,-30.95,100,66,1.74,broken clouds
138,Yellowknife,CA,62.456,-114.3525,-26.72,76,40,3.44,scattered clouds
139,Bambous Virieux,MU,-20.3428,57.7575,80.85,89,75,16.11,light rain
140,San Patricio,US,28.017,-97.5169,39.29,49,100,17.72,overcast clouds
141,Dergachi,RU,51.2328,48.7659,30.07,99,100,5.26,overcast clouds
142,Verkhnyachka,UA,48.8285,30.0396,25.79,65,73,2.84,broken clouds
143,Coquimbo,CL,-29.9533,-71.3436,71.33,60,0,13.8,clear sky
144,Carnarvon,AU,-24.8667,113.6333,81.25,62,67,13.96,broken clouds
145,Lagos,NG,6.5833,3.75,79.92,76,2,7.07,clear sky
146,Cabo San Lucas,MX,22.8909,-109.9124,74.52,48,0,8.05,clear sky
147,Baishishan,CN,43.5833,127.5667,-4.07,100,100,4.0,overcast clouds
148,Ahipara,NZ,-35.1667,173.1667,71.55,90,83,14.18,broken clouds
149,Amberley,US,39.2048,-84.428,25.72,84,100,5.01,overcast clouds
150,Beian,NO,63.6559,9.5683,38.01,56,75,12.66,broken clouds
151,Haverfordwest,GB,51.8017,-4.9691,44.19,78,100,5.01,overcast clouds
152,Ribeira Brava,PT,32.65,-17.0667,67.01,85,100,0.92,overcast clouds
153,Harlingen,US,26.1906,-97.6961,43.34,56,100,18.41,overcast clouds
154,Saint-Philippe,RE,-21.3585,55.7679,80.15,87,100,27.63,moderate rain
155,Terney,RU,45.0503,136.6092,2.59,81,9,13.69,clear sky
156,Nikolskoye,RU,59.7035,30.7861,19.29,95,72,8.21,broken clouds
157,Sitka,US,57.0531,-135.33,42.69,87,100,14.97,mist
158,Georgetown,MY,5.4112,100.3354,79.9,90,20,0.0,few clouds
159,Aketi,CD,2.7388,23.7833,78.26,42,91,2.8,overcast clouds
160,Muros,ES,42.7762,-9.0603,55.24,78,87,7.4,overcast clouds
161,Biak,ID,-0.9131,122.8766,75.88,85,100,3.58,overcast clouds
162,Ribeira Grande,PT,38.5167,-28.7,59.4,77,40,13.8,scattered clouds
163,Constitucion,CL,-35.3333,-72.4167,69.44,69,16,14.12,few clouds
164,Mount Isa,AU,-20.7333,139.5,67.77,49,28,6.91,scattered clouds
165,Itororo,BR,-15.1169,-40.0703,89.56,43,100,4.09,overcast clouds
166,Lhokseumawe,ID,5.1801,97.1507,76.82,85,100,5.01,overcast clouds
167,Bethel,US,41.3712,-73.414,37.76,91,100,6.91,light snow
168,Nanortalik,GL,60.1432,-45.2371,11.64,75,100,45.16,light snow
169,Pangnirtung,CA,66.1451,-65.7125,-16.6,69,75,14.97,broken clouds
170,Mokhsogollokh,RU,61.4681,128.9203,-25.33,100,94,3.38,overcast clouds
171,Caravelas,BR,-17.7125,-39.2481,77.04,87,100,6.91,overcast clouds
172,Padang,ID,-0.9492,100.3543,75.6,93,100,4.68,light rain
173,Marondera,ZW,-18.1853,31.5519,60.82,90,88,3.69,light rain
174,Salalah,OM,17.0151,54.0924,73.49,64,0,3.44,clear sky
175,Elizabeth City,US,36.2946,-76.2511,77.05,75,0,4.0,clear sky
176,Pevek,RU,69.7008,170.3133,-22.72,100,82,4.23,broken clouds
177,Puerto Escondido,MX,15.85,-97.0667,85.03,74,0,9.22,clear sky
178,Ilulissat,GL,69.2167,-51.1,15.82,73,100,17.27,overcast clouds
179,Mackay,AU,-21.15,149.2,77.68,76,100,25.19,overcast clouds
180,Pangody,RU,65.85,74.4859,12.07,96,100,2.53,light snow
181,Rurrenabaque,BO,-14.4413,-67.5278,91.29,62,20,11.5,few clouds
182,Harper,LR,4.375,-7.7169,80.78,78,59,8.1,broken clouds
183,Kidal,ML,18.4411,1.4078,67.39,11,0,10.94,clear sky
184,Morden,CA,49.1919,-98.1014,-7.17,71,44,6.91,scattered clouds
185,Isangel,VU,-19.55,169.2667,76.8,94,100,15.66,moderate rain
186,Santa Clara,CU,22.4,-79.9667,84.97,65,75,12.66,broken clouds
187,Lata,PT,40.1629,-8.3327,54.05,93,100,2.75,overcast clouds
188,Bengkulu,ID,-3.8004,102.2655,73.49,95,100,5.73,overcast clouds
189,Popondetta,PG,-8.7537,148.2534,74.52,91,91,3.02,overcast clouds
190,Qaanaaq,GL,77.484,-69.3632,-4.92,64,100,9.28,overcast clouds
191,Red Bluff,US,40.1785,-122.2358,61.61,35,0,4.61,clear sky
192,Lompoc,US,34.6391,-120.4579,69.12,40,0,0.0,clear sky
193,Wyndham,US,37.6985,-77.6125,69.15,86,100,1.99,overcast clouds
194,Boa Vista,BR,2.8197,-60.6733,89.58,45,75,12.66,broken clouds
195,East London,ZA,-33.0153,27.9116,68.56,84,100,7.45,light rain
196,Nantucket,US,41.2835,-70.0995,39.96,93,100,16.11,moderate rain
197,Cootamundra,AU,-34.65,148.0333,56.21,72,0,10.31,clear sky
198,Ewa Beach,US,21.3156,-158.0072,76.69,65,0,5.75,clear sky
199,Barberton,ZA,-25.7884,31.0532,71.65,91,100,2.98,light rain
200,Alice Town,BS,25.7167,-79.3,74.77,68,0,11.25,clear sky
201,Narsaq,GL,60.9167,-46.05,7.02,62,51,21.63,broken clouds
202,Laguna,US,38.421,-121.4238,65.01,55,20,1.01,few clouds
203,Sao Filipe,CV,14.8961,-24.4956,74.03,71,0,8.7,clear sky
204,Aksum,ET,14.1245,38.7244,62.4,56,22,6.33,few clouds
205,Tiksi,RU,71.6872,128.8694,-18.81,98,100,6.42,overcast clouds
206,Takoradi,GH,4.8845,-1.7554,81.19,77,58,7.72,broken clouds
207,Viedma,AR,-40.8135,-62.9967,70.74,62,100,13.82,light rain
208,San Isidro,PE,-12.1167,-77.05,76.5,76,0,1.99,clear sky
209,Kolding,DK,55.4904,9.4722,37.76,93,100,9.22,overcast clouds
210,Gazanjyk,TM,39.2446,55.5154,55.08,36,99,7.11,overcast clouds
211,Srednekolymsk,RU,67.45,153.6833,-34.44,100,100,0.67,overcast clouds
212,Araguacu,BR,-12.9306,-49.8264,87.03,62,21,3.11,few clouds
213,Mmathubudukwane,BW,-24.6,26.4333,71.11,75,39,5.37,scattered clouds
214,Egvekinot,RU,66.3167,-179.1667,-1.91,63,0,14.88,clear sky
215,Akureyri,IS,65.6835,-18.0878,15.39,96,98,4.25,overcast clouds
216,Bahia Blanca,AR,-38.7196,-62.2724,69.1,74,100,15.97,overcast clouds
217,Pyinmana,MM,19.7333,96.2167,62.71,43,0,2.89,clear sky
218,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,80.73,76,84,4.56,broken clouds
219,Kamaishi,JP,39.2667,141.8833,29.26,52,98,5.17,overcast clouds
220,Barra Patuca,HN,15.8,-84.2833,82.65,66,34,10.11,scattered clouds
221,Kenai,US,60.5544,-151.2583,23.02,93,100,4.61,mist
222,Aalborg,DK,57.048,9.9187,35.96,89,20,9.22,few clouds
223,Gejiu,CN,23.306,103.1635,36.39,96,40,4.16,scattered clouds
224,Lagunas,PE,-5.2269,-75.6753,89.28,49,100,3.15,overcast clouds
225,Lagoa,PT,39.05,-27.9833,58.12,81,82,18.05,broken clouds
226,Vila,PT,42.0304,-8.1588,44.33,82,100,3.42,overcast clouds
227,Asosa,ET,10.0667,34.5333,69.51,22,61,6.4,broken clouds
